rank,iou,country,area_km2
1,0.8807,Sierra Leone,70962
2,0.8766,Antigua and Barb.,277
3,0.8611,Vatican,1
4,0.8523,Maldives,33
5,0.8469,Zimbabwe,388993
6,0.8325,Niue,196
7,0.8302,Nauru,28
8,0.8268,Micronesia,322
9,0.8266,Poland,313763
10,0.8188,eSwatini,16962
11,0.8172,Romania,236340
12,0.8168,Suriname,144934
13,0.8153,Côte d'Ivoire,320867
14,0.8134,Uruguay,177467
15,0.8131,Andorra,443
16,0.8049,San Marino,68
17,0.8048,Sudan,1856663
18,0.8000,Ethiopia,1127093
19,0.7964,Botswana,579136
20,0.7860,São Tomé and Principe,835
21,0.7848,Norfolk Island,41
22,0.7841,St. Vin. and Gren.,281
23,0.7820,Belarus,207560
24,0.7816,Fiji,10858
25,0.7804,Egypt,1001776
26,0.7741,Gabon,259500
27,0.7721,France,538334
28,0.7719,North Macedonia,25400
29,0.7672,Nicaragua,128749
30,0.7625,Montenegro,13690
31,0.7585,Nigeria,907657
32,0.7580,Dem. Rep. Congo,2324445
33,0.7553,Lesotho,29991
34,0.7550,Mauritius,1874
35,0.7544,Algeria,2319284
36,0.7538,Uganda,241474
37,0.7524,Tanzania,938765
38,0.7513,Germany,355533
39,0.7512,Cambodia,180568
40,0.7508,Estonia,41641
41,0.7504,Lithuania,64710
42,0.7493,Bolivia,1086627
43,0.7411,Angola,1237945
44,0.7400,Bosnia and Herz.,51789
45,0.7393,Mauritania,1035187
46,0.7376,Saint Helena,102
47,0.7373,Kenya,592055
48,0.7336,Ecuador,246415
49,0.7304,Spain,494570
50,0.7278,Samoa,1614
51,0.7271,Eq. Guinea,24594
52,0.7235,Indian Ocean Ter.,130
53,0.7208,Senegal,196609
54,0.7195,Montserrat,80
55,0.7183,Åland,643
56,0.7181,South Korea,93575
57,0.7176,Libya,1623722
58,0.7152,Niger,1181195
59,0.7136,Cook Is.,60
60,0.7119,Hong Kong,797
61,0.7116,Colombia,1134360
62,0.7078,Ireland,68861
63,0.7069,Barbados,388
64,0.7020,Afghanistan,641832
65,0.7019,Bahamas,3518
66,0.6991,Sri Lanka,65610
67,0.6990,Guernsey,48
68,0.6987,Malta,219
69,0.6975,Syria,185959
70,0.6969,St-Barthélemy,24
71,0.6957,Australia,7601866
72,0.6953,Rwanda,25273
73,0.6951,Switzerland,41316
74,0.6943,Iceland,101819
75,0.6907,Azerbaijan,81725
76,0.6894,Macao,23
77,0.6882,Luxembourg,2621
78,0.6868,Saudi Arabia,1920589
79,0.6853,Chad,1266562
80,0.6829,Burundi,27087
81,0.6823,Guatemala,108101
82,0.6797,Iran,1620461
83,0.6783,S. Sudan,621325
84,0.6780,Monaco,12
85,0.6773,Cabo Verde,931
86,0.6771,Belgium,30740
87,0.6733,Djibouti,21619
88,0.6688,Ghana,238558
89,0.6685,Fr. Polynesia,989
90,0.6684,Brazil,8418355
