rank,distance,country_a,continent_a,country_b,continent_b
1,0.02395,Wallis and Futuna Is.,Oceania,Comoros,Africa
2,0.02627,St. Vin. and Gren.,North America,Fiji,Oceania
3,0.02766,Monaco,Europe,Macao,Asia
4,0.02881,St-Martin,North America,Dominica,North America
5,0.03003,Saint Helena,Seven seas (open ocean),Cook Is.,Oceania
6,0.03429,São Tomé and Principe,Africa,St. Vin. and Gren.,North America
7,0.03766,Liechtenstein,Europe,Wallis and Futuna Is.,Oceania
8,0.03946,San Marino,Europe,St. Vin. and Gren.,North America
9,0.03978,São Tomé and Principe,Africa,North Macedonia,Europe
10,0.04085,Macao,Asia,Barbados,North America
11,0.04113,Montserrat,North America,Barbados,North America
12,0.04130,Liechtenstein,Europe,Comoros,Africa
13,0.04228,Micronesia,Oceania,Nauru,Oceania
14,0.04265,San Marino,Europe,Fiji,Oceania
15,0.04266,São Tomé and Principe,Africa,San Marino,Europe
16,0.04282,Monaco,Europe,Barbados,North America
17,0.04354,Saint Helena,Seven seas (open ocean),Malta,Europe
18,0.04413,Montserrat,North America,Malta,Europe
19,0.04431,Pitcairn Is.,Oceania,Malta,Europe
20,0.04468,St. Vin. and Gren.,North America,Mauritius,Seven seas (open ocean)
21,0.04565,Montserrat,North America,Macao,Asia
22,0.04587,Mauritius,Seven seas (open ocean),Fiji,Oceania
23,0.04667,Monaco,Europe,Cabo Verde,Africa
24,0.04689,St. Vin. and Gren.,North America,Cook Is.,Oceania
25,0.04690,St-Barthélemy,North America,Macao,Asia
26,0.04723,Cook Is.,Oceania,Mauritius,Seven seas (open ocean)
27,0.04726,Monaco,Europe,Bhutan,Asia
28,0.04779,North Macedonia,Europe,Lesotho,Africa
29,0.04798,São Tomé and Principe,Africa,Fiji,Oceania
30,0.04818,Puerto Rico,North America,Isle of Man,Europe
31,0.04829,Niue,Oceania,Nauru,Oceania
32,0.04840,Somalia,Africa,Curaçao,North America
33,0.04842,Vatican,Europe,Antigua and Barb.,North America
34,0.04845,Micronesia,Oceania,Andorra,Europe
35,0.04858,N. Mariana Is.,Oceania,Taiwan,Asia
36,0.04969,eSwatini,Africa,Niue,Oceania
37,0.04975,American Samoa,Oceania,Tuvalu,Oceania
38,0.04978,São Tomé and Principe,Africa,Niue,Oceania
39,0.04996,U.S. Virgin Is.,North America,Palau,Oceania
40,0.05003,Micronesia,Oceania,Niue,Oceania
41,0.05033,Saint Lucia,North America,Dominica,North America
42,0.05090,Singapore,Asia,Grenada,North America
