rank,distance,country_a,area_a_km2,country_b,area_b_km2
1,0.02395,Wallis and Futuna Is.,79,Comoros,976
2,0.02627,St. Vin. and Gren.,281,Fiji,10858
3,0.02766,Monaco,12,Macao,23
4,0.02881,St-Martin,49,Dominica,695
5,0.03003,Saint Helena,102,Cook Is.,60
6,0.03429,São Tomé and Principe,835,St. Vin. and Gren.,281
7,0.03766,Liechtenstein,138,Wallis and Futuna Is.,79
8,0.03946,San Marino,68,St. Vin. and Gren.,281
9,0.03978,São Tomé and Principe,835,North Macedonia,25400
10,0.04085,Macao,23,Barbados,388
11,0.04113,Montserrat,80,Barbados,388
12,0.04130,Liechtenstein,138,Comoros,976
13,0.04228,Micronesia,322,Nauru,28
14,0.04265,San Marino,68,Fiji,10858
15,0.04266,São Tomé and Principe,835,San Marino,68
16,0.04282,Monaco,12,Barbados,388
17,0.04354,Saint Helena,102,Malta,219
18,0.04413,Montserrat,80,Malta,219
19,0.04431,Pitcairn Is.,39,Malta,219
20,0.04468,St. Vin. and Gren.,281,Mauritius,1874
21,0.04565,Montserrat,80,Macao,23
22,0.04587,Mauritius,1874,Fiji,10858
23,0.04667,Monaco,12,Cabo Verde,931
24,0.04689,St. Vin. and Gren.,281,Cook Is.,60
25,0.04690,St-Barthélemy,24,Macao,23
26,0.04723,Cook Is.,60,Mauritius,1874
27,0.04726,Monaco,12,Bhutan,39811
28,0.04779,North Macedonia,25400,Lesotho,29991
29,0.04798,São Tomé and Principe,835,Fiji,10858
30,0.04818,Puerto Rico,8725,Isle of Man,560
31,0.04829,Niue,196,Nauru,28
32,0.04840,Somalia,471542,Curaçao,428
33,0.04842,Vatican,1,Antigua and Barb.,277
34,0.04845,Micronesia,322,Andorra,443
35,0.04858,N. Mariana Is.,117,Taiwan,35807
36,0.04969,eSwatini,16962,Niue,196
37,0.04975,American Samoa,120,Tuvalu,10
38,0.04978,São Tomé and Principe,835,Niue,196
39,0.04996,U.S. Virgin Is.,205,Palau,322
40,0.05003,Micronesia,322,Niue,196
41,0.05033,Saint Lucia,549,Dominica,695
42,0.05090,Singapore,483,Grenada,285
43,0.05118,Montserrat,80,Monaco,12
44,0.05146,Saint Lucia,549,Grenada,285
45,0.05148,San Marino,68,Niue,196
46,0.05198,Monaco,12,Malta,219
47,0.05210,Niue,196,Antigua and Barb.,277
48,0.05216,Micronesia,322,Antigua and Barb.,277
49,0.05240,Pitcairn Is.,39,Qatar,11052
50,0.05250,São Tomé and Principe,835,Cook Is.,60
51,0.05256,St. Vin. and Gren.,281,North Macedonia,25400
52,0.05259,São Tomé and Principe,835,Lesotho,29991
53,0.05294,eSwatini,16962,Poland,313763
54,0.05299,Hungary,93214,Cabo Verde,931
55,0.05307,U.S. Virgin Is.,205,Tuvalu,10
56,0.05329,Malta,219,Barbados,388
57,0.05343,Rwanda,25273,Chad,1266562
58,0.05370,Aruba,155,Bahrain,540
59,0.05374,Nauru,28,Andorra,443
60,0.05377,San Marino,68,North Macedonia,25400
61,0.05408,Singapore,483,Qatar,11052
62,0.05409,Isle of Man,560,St-Martin,49
63,0.05442,Luxembourg,2621,Chad,1266562
64,0.05471,Cook Is.,60,Barbados,388
65,0.05493,eSwatini,16962,Nauru,28
66,0.05542,Saudi Arabia,1920589,Bulgaria,112612
67,0.05555,Nauru,28,Antigua and Barb.,277
68,0.05580,Isle of Man,560,Dominica,695
69,0.05583,Seychelles,174,Liechtenstein,138
70,0.05584,Pitcairn Is.,39,Singapore,483
71,0.05588,Malta,219,Bhutan,39811
72,0.05592,U.S. Virgin Is.,205,American Samoa,120
73,0.05611,eSwatini,16962,Lesotho,29991
74,0.05628,Nigeria,907657,Ethiopia,1127093
75,0.05673,Niue,196,Lesotho,29991
76,0.05684,Lebanon,10009,Comoros,976
77,0.05685,Cook Is.,60,Malta,219
78,0.05736,Seychelles,174,Lebanon,10009
79,0.05739,Cook Is.,60,Fiji,10858
80,0.05746,Montserrat,80,Luxembourg,2621
81,0.05748,San Marino,68,Nauru,28
82,0.05756,Saint Lucia,549,St-Martin,49
83,0.05759,Niue,196,North Macedonia,25400
84,0.05825,Chad,1266562,Belgium,30740
