rank,distance,country_a,area_a_km2,country_b,area_b_km2
1,0.05542,Saudi Arabia,1920589,Bulgaria,112612
2,0.05628,Nigeria,907657,Ethiopia,1127093
3,0.06299,Mongolia,1564510,Honduras,112883
4,0.06498,Saudi Arabia,1920589,Ghana,238558
5,0.06507,Ghana,238558,Bulgaria,112612
6,0.06522,Ethiopia,1127093,Cambodia,180568
7,0.06630,Zimbabwe,388993,Algeria,2319284
8,0.06663,Botswana,579136,Belarus,207560
9,0.06715,Suriname,144934,Côte d'Ivoire,320867
10,0.06925,France,538334,Angola,1237945
11,0.06979,Oman,308916,Central African Rep.,618323
12,0.07011,Somaliland,167804,Oman,308916
13,0.07041,Nigeria,907657,Mauritania,1035187
14,0.07068,Mauritania,1035187,Ethiopia,1127093
15,0.07084,Uruguay,177467,Ethiopia,1127093
16,0.07084,Niger,1181195,Afghanistan,641832
17,0.07139,Somaliland,167804,Guinea,243939
18,0.07172,Uganda,241474,Libya,1623722
19,0.07176,Botswana,579136,Bolivia,1086627
20,0.07234,Uganda,241474,Romania,236340
21,0.07294,Somaliland,167804,Niger,1181195
22,0.07569,Uruguay,177467,Poland,313763
23,0.07599,Mongolia,1564510,Afghanistan,641832
24,0.07620,Niger,1181195,Guinea,243939
25,0.07648,France,538334,Côte d'Ivoire,320867
26,0.07676,Niger,1181195,Mongolia,1564510
27,0.07684,Zimbabwe,388993,Botswana,579136
28,0.07757,Kenya,592055,Angola,1237945
29,0.07770,Saudi Arabia,1920589,Chad,1266562
30,0.07790,Zimbabwe,388993,Uruguay,177467
31,0.07802,Saudi Arabia,1920589,Romania,236340
32,0.07833,Uruguay,177467,Belarus,207560
33,0.07867,Iraq,437232,Ethiopia,1127093
34,0.07940,Syria,185959,Saudi Arabia,1920589
35,0.08007,Uruguay,177467,Nigeria,907657
36,0.08070,Poland,313763,Côte d'Ivoire,320867
37,0.08094,Iraq,437232,Indonesia,528768
38,0.08217,New Zealand,149472,Nepal,146977
39,0.08232,Nigeria,907657,Iraq,437232
40,0.08248,Belarus,207560,Algeria,2319284
41,0.08253,Libya,1623722,Brazil,8418355
42,0.08265,Zimbabwe,388993,Belarus,207560
43,0.08282,Bolivia,1086627,Belarus,207560
44,0.08286,Sweden,441301,Nepal,146977
45,0.08329,Central African Rep.,618323,Burkina Faso,272627
46,0.08337,Libya,1623722,Ethiopia,1127093
47,0.08364,Tanzania,938765,Romania,236340
