rank,iou,country,area_km2
1,0.8376,Nicaragua,128749
2,0.7894,Bolivia,1086627
3,0.7894,Spain,494570
4,0.7889,Belarus,207560
5,0.7869,Algeria,2319284
6,0.7861,Indian Ocean Ter.,130
7,0.7839,Bosnia and Herz.,51789
8,0.7821,Zimbabwe,388993
9,0.7796,Botswana,579136
10,0.7780,Mauritania,1035187
11,0.7745,Ecuador,246415
12,0.7660,Uruguay,177467
13,0.7653,Estonia,41641
14,0.7634,Andorra,443
15,0.7538,Ethiopia,1127093
16,0.7536,Micronesia,322
17,0.7493,Nigeria,907657
18,0.7482,Lithuania,64710
19,0.7470,Guernsey,48
20,0.7460,Hong Kong,797
21,0.7452,Egypt,1001776
22,0.7425,Dem. Rep. Congo,2324445
23,0.7407,Burundi,27087
24,0.7375,Brazil,8418355
25,0.7368,Libya,1623722
26,0.7350,Antigua and Barb.,277
27,0.7347,Vatican,1
28,0.7301,South Korea,93575
29,0.7296,Poland,313763
30,0.7290,Nauru,28
31,0.7284,Brunei,4344
32,0.7283,St. Vin. and Gren.,281
33,0.7281,Cambodia,180568
34,0.7281,Bahamas,3518
35,0.7270,Côte d'Ivoire,320867
36,0.7260,Namibia,822543
37,0.7257,Syria,185959
38,0.7249,Fiji,10858
39,0.7240,São Tomé and Principe,835
40,0.7234,Sierra Leone,70962
41,0.7232,Montenegro,13690
42,0.7227,Eq. Guinea,24594
43,0.7210,Norfolk Island,41
44,0.7199,eSwatini,16962
45,0.7191,Saudi Arabia,1920589
46,0.7166,Kuwait,16644
47,0.7165,Suriname,144934
48,0.7146,Maldives,33
49,0.7132,Iraq,437232
50,0.7114,Kenya,592055
51,0.7109,Niue,196
52,0.7102,Angola,1237945
53,0.7095,Cabo Verde,931
54,0.7079,Senegal,196609
55,0.7055,Papua New Guinea,399427
56,0.7052,Saint Helena,102
57,0.7051,San Marino,68
58,0.7008,France,538334
59,0.7002,Tanzania,938765
60,0.6992,Malta,219
61,0.6983,Australia,7601866
62,0.6974,Sudan,1856663
63,0.6963,Samoa,1614
64,0.6939,Cameroon,463871
65,0.6937,Faeroe Is.,570
66,0.6937,India,3141579
67,0.6931,Ireland,68861
68,0.6914,S. Sudan,621325
69,0.6911,Germany,355533
70,0.6905,Romania,236340
71,0.6884,Indonesia,528768
72,0.6880,Barbados,388
73,0.6868,Montserrat,80
74,0.6848,Uganda,241474
75,0.6844,Iran,1620461
76,0.6842,Venezuela,908879
77,0.6794,Niger,1181195
78,0.6778,Colombia,1134360
79,0.6771,Gabon,259500
80,0.6762,Mauritius,1874
81,0.6750,Lesotho,29991
82,0.6748,North Macedonia,25400
83,0.6743,Trinidad and Tobago,4860
84,0.6723,Sri Lanka,65610
85,0.6691,St-Barthélemy,24
86,0.6685,Åland,643
87,0.6662,United States of America,7930927
88,0.6629,Bulgaria,112612
89,0.6627,Cook Is.,60
90,0.6612,Macao,23
91,0.6610,China,9336905
92,0.6607,Afghanistan,641832
93,0.6602,Iceland,101819
94,0.6594,Switzerland,41316
95,0.6577,Guinea-Bissau,31116
96,0.6568,Azerbaijan,81725
97,0.6559,Guatemala,108101
98,0.6531,Chad,1266562
99,0.6514,Mali,1254117
100,0.6513,Luxembourg,2621
101,0.6493,Netherlands,35722
102,0.6476,Monaco,12
103,0.6473,Belgium,30740
