rank,iou,country,area_km2
1,0.4401,Barbados,388
2,0.4386,Myanmar,653195
3,0.4356,Chad,1269293
4,0.4353,Bulgaria,112375
5,0.4320,Indonesia,527572
6,0.4314,Libya,1618412
7,0.4291,South Africa,1216714
8,0.4249,Macao,23
9,0.4241,Eq. Guinea,24569
10,0.4185,Saudi Arabia,1924792
11,0.4183,Singapore,483
12,0.4180,Norfolk Island,41
13,0.4179,Hong Kong,796
14,0.4175,Netherlands,35822
15,0.4174,Bosnia and Herz.,51734
16,0.4169,South Korea,93495
17,0.4168,Samoa,1614
18,0.4162,Jersey,127
19,0.4159,Ethiopia,1128366
20,0.4151,Fr. S. Antarctic Lands,6603
21,0.4145,Guernsey,48
22,0.4128,Ecuador,246871
23,0.4128,Bahamas,3518
24,0.4121,Djibouti,21589
25,0.4114,Guinea-Bissau,31130
26,0.4103,Ukraine,569681
27,0.4077,Slovenia,20193
28,0.4074,Uganda,241374
29,0.4071,São Tomé and Principe,835
30,0.4060,Cabo Verde,931
31,0.4057,Angola,1238497
32,0.4054,Burundi,27159
33,0.4051,St-Martin,49
34,0.4049,Bhutan,39816
35,0.4035,Romania,235974
36,0.4033,Dominican Rep.,48351
37,0.4029,Canada,8072918
38,0.4024,Jordan,88526
39,0.4014,Azerbaijan,82212
40,0.4013,Belgium,30714
41,0.4011,Rwanda,25218
42,0.4009,Åland,643
43,0.4001,Ghana,238669
44,0.3999,Greenland,2110004
45,0.3996,St-Barthélemy,24
46,0.3993,Luxembourg,2616
47,0.3989,Cook Is.,60
48,0.3983,Kenya,592934
49,0.3982,Hungary,93168
50,0.3979,Brazil,8426164
51,0.3977,Mauritius,1874
52,0.3974,Germany,354190
53,0.3971,Estonia,41588
54,0.3970,France,538374
55,0.3969,Australia,7603548
56,0.3965,Ireland,68766
57,0.3962,Montserrat,80
58,0.3961,Malta,219
59,0.3960,Fiji,10859
60,0.3955,Lesotho,29955
61,0.3951,Grenada,285
62,0.3943,Gabon,258777
63,0.3941,Dem. Rep. Congo,2327612
64,0.3940,Liberia,95306
65,0.3937,Sri Lanka,65567
66,0.3926,Somalia,637451
67,0.3920,Niue,196
68,0.3916,Bangladesh,132567
69,0.3911,Qatar,11029
70,0.3903,Pitcairn Is.,39
71,0.3902,Colombia,1136367
72,0.3891,Senegal,197025
73,0.3890,Tunisia,156375
74,0.3888,Poland,314689
75,0.3886,Mauritania,1036156
76,0.3885,Cambodia,180706
77,0.3884,Madagascar,590549
78,0.3882,Iraq,435422
79,0.3877,Paraguay,399445
80,0.3875,Trinidad and Tobago,4851
81,0.3875,Saint Helena,102
82,0.3875,Oman,310095
83,0.3875,Iceland,101321
84,0.3871,N. Mariana Is.,117
85,0.3863,Faeroe Is.,570
86,0.3861,Côte d'Ivoire,321648
87,0.3856,Syria,185869
88,0.3851,El Salvador,20233
89,0.3848,Burkina Faso,272783
90,0.3846,Czechia,78961
91,0.3827,Micronesia,322
92,0.3823,Iran,1622042
93,0.3823,Guyana,210327
94,0.3822,Nauru,28
95,0.3820,Monaco,12
96,0.3817,Heard I. and McDonald Is.,420
97,0.3816,Serbia,77911
98,0.3813,Namibia,822408
99,0.3808,United States of America,7948770
100,0.3805,Bolivia,1088002
101,0.3803,Vanuatu,4012
102,0.3801,Slovakia,48358
103,0.3800,Guatemala,108143
104,0.3789,Indian Ocean Ter.,130
105,0.3789,Mongolia,1565591
106,0.3785,Andorra,443
107,0.3776,St. Vin. and Gren.,281
108,0.3774,Moldova,33236
109,0.3774,North Macedonia,25425
110,0.3769,India,3144504
111,0.3768,Nigeria,905955
112,0.3763,Croatia,51426
113,0.3762,Dominica,695
114,0.3756,Maldives,33
115,0.3745,Egypt,998593
116,0.3738,Tanzania,937710
117,0.3737,eSwatini,16980
118,0.3733,Afghanistan,641093
119,0.3729,Saint Lucia,549
120,0.3726,Isle of Man,560
121,0.3726,Niger,1183525
122,0.3724,Belarus,207394
123,0.3724,Zambia,752714
124,0.3724,San Marino,68
125,0.3721,Latvia,64583
126,0.3718,Central African Rep.,617802
